"프레임.인덱스","차량.ID","위도","경도","East..TM.좌표.","North..TM.좌표.","차선","차선변경여부"
2992,"127",36.45994685,127.2790281,225011.3715,429118.0058,3,0
2993,"127",36.4599347,127.2790407,225012.4567,429116.714,3,0
2994,"127",36.45992278,127.279053,225013.5803,429115.3783,3,0
2995,"127",36.45991065,127.2790656,225014.6975,429114.0511,3,0
2996,"127",36.45989873,127.2790779,225015.8203,429112.7174,3,0
2997,"127",36.45988664,127.2790905,225016.9347,429111.3935,3,0
2998,"127",36.45987478,127.2791028,225018.087,429110.0251,3,0
2999,"127",36.45986165,127.2791163,225019.2412,429108.6542,3,0
3000,"127",36.45984949,127.279129,225020.3962,429107.281,3,0
3001,"127",36.45983756,127.2791413,225021.5483,429105.9081,3,0
3002,"127",36.45982444,127.2791548,225022.6593,429104.5802,3,0
3003,"127",36.4598135,127.279166,225023.8075,429103.2066,3,0
3004,"127",36.45980034,127.2791796,225024.8898,429101.913,3,0
3005,"127",36.45978939,127.2791909,225026.04,429100.5386,3,0
3006,"127",36.45977625,127.2792044,225027.1877,429099.1668,3,0
3007,"127",36.45976316,127.2792179,225028.3332,429097.7963,3,0
3008,"127",36.45975224,127.2792291,225029.4777,429096.4281,3,0
3009,"127",36.45973918,127.2792425,225030.5912,429095.0981,3,0
3010,"127",36.45972712,127.279255,225031.7344,429093.7325,3,0
3011,"127",36.45971524,127.2792672,225032.8112,429092.4475,3,0
3012,"127",36.45970435,127.2792785,225033.9183,429091.1282,3,0
3013,"127",36.45969137,127.2792919,225034.9949,429089.8471,3,0
3014,"127",36.45968052,127.2793031,225036.1072,429088.5233,3,0
3015,"127",36.45966848,127.2793156,225037.1819,429087.2426,3,0
3016,"127",36.45965666,127.2793278,225038.2938,429085.9184,3,0
3017,"127",36.45964463,127.2793402,225039.3678,429084.6386,3,0
3018,"127",36.45963379,127.2793514,225040.4409,429083.3592,3,0
3019,"127",36.45962199,127.2793635,225041.5127,429082.0789,3,0
3020,"127",36.45960994,127.2793759,225042.6147,429080.763,3,0
3021,"127",36.45959813,127.2793881,225043.6874,429079.4838,3,0
3022,"127",36.45958732,127.2793993,225044.7606,429078.2056,3,0
3023,"127",36.4595753,127.2794117,225045.8338,429076.9268,3,0
3024,"127",36.45956348,127.2794239,225046.9429,429075.6045,3,0
3025,"127",36.45955148,127.2794363,225048.0437,429074.2909,3,0
3026,"127",36.4595397,127.2794485,225049.1498,429072.971,3,0
3027,"127",36.45952771,127.2794608,225050.2502,429071.659,3,0
3028,"127",36.45951593,127.279473,225051.3225,429070.3835,3,0
3029,"127",36.45950513,127.2794842,225052.3959,429069.1085,3,0
3030,"127",36.45949315,127.2794966,225053.4678,429067.8354,3,0
3031,"127",36.45948143,127.2795088,225054.5751,429066.52,3,0
3032,"127",36.45946948,127.2795211,225055.6437,429065.2486,3,0
3033,"127",36.4594587,127.2795323,225056.712,429063.9769,3,0
3034,"127",36.45944696,127.2795444,225057.7788,429062.7043,3,0
3035,"127",36.459435,127.2795567,225058.8742,429061.3972,3,0
3036,"127",36.45942328,127.2795688,225059.9384,429060.1275,3,0
3037,"127",36.45941255,127.2795799,225061.0012,429058.8606,3,0
3038,"127",36.45940066,127.2795922,225062.033,429057.6317,3,0
3039,"127",36.45938997,127.2796032,225063.093,429056.3681,3,0
3040,"127",36.45937831,127.2796152,225064.1157,429055.149,3,0
3041,"127",36.45936762,127.2796263,225065.1739,429053.8876,3,0
3042,"127",36.45935579,127.2796385,225066.2314,429052.6286,3,0
3043,"127",36.45934419,127.2796505,225067.2879,429051.3707,3,0
3044,"127",36.45933353,127.2796615,225068.3449,429050.1127,3,0
3045,"127",36.4593217,127.2796738,225069.372,429048.8899,3,0
3046,"127",36.45931105,127.2796848,225070.4293,429047.6337,3,0
3047,"127",36.45929949,127.2796968,225071.4865,429046.3795,3,0
3048,"127",36.4592877,127.279709,225072.5732,429045.0907,3,0
3049,"127",36.45927612,127.279721,225073.665,429043.7925,3,0
3050,"127",36.45926431,127.2797332,225074.7477,429042.5025,3,0
3051,"127",36.45925275,127.2797451,225075.7994,429041.2481,3,0
3052,"127",36.45924213,127.2797561,225076.8513,429039.9943,3,0
3053,"127",36.45923033,127.2797683,225077.9047,429038.7398,3,0
3054,"127",36.45921875,127.2797803,225078.9943,429037.4417,3,0
3055,"127",36.45920695,127.2797924,225080.0756,429036.1519,3,0
3056,"127",36.45919538,127.2798043,225081.1257,429034.8981,3,0
3057,"127",36.45918477,127.2798153,225082.1763,429033.6445,3,0
3058,"127",36.45917297,127.2798275,225083.1986,429032.4257,3,0
3059,"127",36.45916235,127.2798384,225084.2497,429031.1711,3,0
3060,"127",36.45915077,127.2798503,225085.2988,429029.9171,3,0
3061,"127",36.45913899,127.2798624,225086.3466,429028.6639,3,0
3062,"127",36.45912839,127.2798734,225087.3964,429027.4116,3,0
3063,"127",36.45911683,127.2798853,225088.4485,429026.1601,3,0
3064,"127",36.45910507,127.2798975,225089.5016,429024.9089,3,0
3065,"127",36.45909448,127.2799085,225090.5556,429023.6582,3,0
3066,"127",36.45908294,127.2799205,225091.6103,429022.4065,3,0
3067,"127",36.45907115,127.2799327,225092.666,429021.1554,3,0
3068,"127",36.45906057,127.2799437,225093.6922,429019.9419,3,0
3069,"127",36.45905005,127.2799547,225094.7125,429018.7372,3,0
3070,"127",36.4590385,127.2799667,225095.7715,429017.4874,3,0
3071,"127",36.45902671,127.279979,225096.8333,429016.2352,3,0
3072,"127",36.45901612,127.2799901,225097.8962,429014.9823,3,0
3073,"127",36.45900454,127.2800022,225098.9222,429013.7728,3,0
3074,"127",36.45899393,127.2800133,225099.9825,429012.5188,3,0
3075,"127",36.45898213,127.2800255,225101.0147,429011.2989,3,0
3076,"127",36.45897148,127.2800366,225102.0791,429010.0423,3,0
3077,"127",36.45895987,127.2800488,225103.1117,429008.8269,3,0
3078,"127",36.45894919,127.2800599,225104.2155,429007.5291,3,0
3079,"127",36.45893631,127.2800734,225105.2932,429006.2628,3,0
3080,"127",36.45892555,127.2800847,225106.4107,429004.9507,3,0
3081,"127",36.45891363,127.2800972,225107.4913,429003.6812,3,0
3082,"127",36.45890191,127.2801095,225108.5726,429002.4117,3,0
3083,"127",36.45889115,127.2801208,225109.6551,429001.14,3,0
3084,"127",36.45887917,127.2801333,225110.7086,428999.9007,3,0
3085,"127",36.45886832,127.2801446,225111.7932,428998.6218,3,0
3086,"127",36.45885649,127.2801569,225112.8408,428997.3835,3,0
3087,"127",36.45884561,127.2801683,225113.9257,428996.0984,3,0
3088,"127",36.45883349,127.2801808,225115.012,428994.8097,3,0
3089,"127",36.45882156,127.2801932,225116.0994,428993.5175,3,0
3090,"127",36.45881059,127.2802045,225117.1885,428992.2234,3,0
3091,"127",36.45879842,127.2802171,225118.2465,428990.964,3,0
3092,"127",36.45878743,127.2802285,225119.3347,428989.6672,3,0
3093,"127",36.45877544,127.2802408,225120.3865,428988.4131,3,0
3094,"127",36.45876443,127.2802522,225121.4398,428987.1565,3,0
3095,"127",36.45875338,127.2802636,225122.4636,428985.9344,3,0
3096,"127",36.45874232,127.280275,225123.4858,428984.7113,3,0
3097,"127",36.45873129,127.2802863,225124.5439,428983.4439,3,0
3098,"127",36.45871903,127.2802989,225125.6017,428982.1759,3,0
3099,"127",36.45870796,127.2803102,225126.6609,428980.9069,3,0
3100,"127",36.4586969,127.2803216,225127.7146,428979.6457,3,0
3101,"127",36.45868485,127.280334,225128.7685,428978.3857,3,0
3102,"127",36.45867381,127.2803454,225129.8591,428977.0807,3,0
3103,"127",36.45866153,127.280358,225130.9192,428975.8125,3,0
3104,"127",36.45865048,127.2803694,225131.9801,428974.5447,3,0
3105,"127",36.45863946,127.2803808,225133.0365,428973.286,3,0
3106,"127",36.45862742,127.2803932,225134.094,428972.0275,3,0
3107,"127",36.45861638,127.2804046,225135.1913,428970.7228,3,0
3108,"127",36.4586041,127.2804174,225136.2597,428969.4552,3,0
3109,"127",36.45859307,127.2804289,225137.3611,428968.1505,3,0
3110,"127",36.45858102,127.2804414,225138.4251,428966.8913,3,0
3111,"127",36.45856997,127.2804529,225139.5268,428965.5861,3,0
3112,"127",36.45855769,127.2804656,225140.6292,428964.28,3,0
3113,"127",36.45854562,127.2804781,225141.7325,428962.9728,3,0
3114,"127",36.45853455,127.2804897,225142.7979,428961.7096,3,0
3115,"127",36.45852346,127.2805011,225143.8693,428960.4379,3,0
3116,"127",36.45851116,127.2805139,225144.9709,428959.1281,3,0
3117,"127",36.45849905,127.2805264,225146.0728,428957.8177,3,0
3118,"127",36.45848795,127.2805379,225147.1762,428956.5064,3,0
3119,"127",36.45847562,127.2805507,225148.2818,428955.1942,3,0
3120,"127",36.45846349,127.2805633,225149.4265,428953.8354,3,0
3121,"127",36.45845113,127.2805761,225150.5336,428952.5213,3,0
3122,"127",36.45844001,127.2805876,225151.6397,428951.2074,3,0
3123,"127",36.45842788,127.2806002,225152.7459,428949.8937,3,0
3124,"127",36.45841552,127.280613,225153.8841,428948.5426,3,0
3125,"127",36.45840339,127.2806256,225155.0316,428947.183,3,0
3126,"127",36.45839103,127.2806384,225156.1735,428945.8315,3,0
3127,"127",36.4583789,127.280651,225157.3212,428944.4731,3,0
3128,"127",36.45836658,127.2806638,225158.4594,428943.1229,3,0
3129,"127",36.45835444,127.2806764,225159.5644,428941.8098,3,0
3130,"127",36.45834331,127.2806879,225160.6996,428940.4582,3,0
3131,"127",36.45832995,127.2807017,225161.8421,428939.0996,3,0
3132,"127",36.45831762,127.2807145,225163.0152,428937.7061,3,0
3133,"127",36.45830555,127.280727,225164.1198,428936.397,3,0
3134,"127",36.45829447,127.2807385,225165.2238,428935.0897,3,0
3135,"127",36.45828219,127.2807513,225166.2955,428933.8197,3,0
3136,"127",36.45827113,127.2807628,225167.395,428932.5131,3,0
3137,"127",36.45825906,127.2807752,225168.4545,428931.2515,3,0
3138,"127",36.458248,127.2807866,225169.5512,428929.946,3,0
3139,"127",36.45823575,127.2807993,225170.6482,428928.6424,3,0
